episode,reward,length,goal_reached,goal_distance
0,-5547.611619,1000,0.0,0.5942298224345399
1,-5805.357862,1000,0.0,1.0876658603595684
2,-6724.195351,1000,0.0,1.6407534020042123
3,-5436.092121,1000,0.0,1.5620498223064345
4,-4349.135452,1000,0.0,1.5620498223064345
5,-4227.127868,1000,0.0,1.5620498223064345
6,-4197.523955,1000,0.0,1.5620498223064345
7,-4174.06778,1000,0.0,1.5620498223064345
8,-4145.551948,1000,0.0,1.5711866834109705
9,-4154.38281,1000,0.0,1.5620498223064345
10,-4190.489499,1000,0.0,1.5620498223064345
11,-4079.510282,1000,0.0,1.563905816436025
12,-4846.193537,1000,0.0,1.7396718354128036
13,-4892.691601,1000,0.0,1.6585100155846801
14,-4118.850114,1000,0.0,1.5620498223064345
15,-4097.159018,1000,0.0,1.5620498223064345
16,-7257.044981,1000,0.0,1.9034856098047646
17,-7179.916462,1000,0.0,1.9034856098047646
18,-7171.319901,1000,0.0,1.9034856098047646
19,-4322.345774,1000,0.0,1.5620498223064345
20,-4266.246502,1000,0.0,1.614656593677852
21,-4429.831941,1000,0.0,1.6037712694924575
22,-4264.706312,1000,0.0,1.5620498223064345
23,-4881.576455,1000,0.0,1.5126348478304956
24,-4125.682809,1000,0.0,1.3799971012727168
25,-1813.61659,1000,0.0,0.7704235677637871
26,-2373.75693,1000,0.0,1.1230021946010964
27,-1758.639178,1000,0.0,0.9355184347754126
28,-1973.729537,1000,0.0,1.0519729041814714
29,-1933.436951,1000,0.0,1.1614893000069682
30,-2071.226849,1000,0.0,0.7658316435037666
31,-2046.022885,1000,0.0,1.0775083184042558
32,-2091.391488,1000,0.0,1.0800106988914937
33,-1675.305555,1000,0.0,0.9587762986806885
34,-1537.728662,1000,0.0,0.8575180895587942
35,-2834.456296,1000,0.0,1.8896520077966448
36,-4654.869297,1000,0.0,1.358935454155992
37,-2946.427469,1000,0.0,1.3724249900433498
38,-4250.811465,1000,0.0,0.8955249621194071
39,-5097.10271,1000,0.0,2.1668408452046832
40,-2522.476817,1000,0.0,1.115715131561028
41,-5704.677903,1000,0.0,2.4402984247999746
42,-3866.343558,1000,0.0,0.8668453263552469
43,-2671.745308,1000,0.0,0.5424923405897227
44,-2303.725341,1000,0.0,1.438407045518777
45,-1952.66025,1000,0.0,0.2114255447506984
46,-3651.820751,1000,0.0,1.801251968267583
47,-4848.664225,1000,0.0,1.7065379839864951
48,-5031.582457,1000,0.0,2.3385560587267706
49,-5173.164699,1000,0.0,1.7804061306895773
50,-5443.195094,1000,0.0,1.8724475537323655
