episode,reward,length,goal_reached,goal_distance
0,-6256.304095,1000,0.0,1.7901035037798372
1,-6484.050458,1000,0.0,1.5620498223064345
2,-4724.040593,1000,0.0,1.5620498223064345
3,-4240.21004,1000,0.0,1.5620498223064345
4,-4155.33964,1000,0.0,1.5620498223064345
5,-4098.678949,1000,0.0,1.5620498223064345
6,-4065.282109,1000,0.0,1.5620498223064345
7,-4041.603019,1000,0.0,1.5620498223064345
8,-4035.698225,1000,0.0,1.5620498223064345
9,-4069.58549,1000,0.0,1.6339539954333622
10,-5121.872421,1000,0.0,1.8774788381360608
11,-4090.415435,1000,0.0,1.5620498223064345
12,-4019.674582,1000,0.0,1.5620498223064345
13,-7006.56193,1000,0.0,2.9404201816847393
14,-6869.189959,1000,0.0,2.1596718541249538
15,-6793.030118,1000,0.0,2.3383439283463963
16,-4231.808841,1000,0.0,1.565696096088176
17,-4106.383943,1000,0.0,1.56400714014563
18,-4863.122958,1000,0.0,1.7482829372993258
19,-4966.373031,1000,0.0,1.563599771195653
20,-4547.341133,1000,0.0,1.2750022282804534
21,-4637.822769,1000,0.0,2.6715722000701385
22,-5384.777883,1000,0.0,2.7938707842193975
23,-5080.04189,1000,0.0,2.1668457355906803
24,-4103.592122,1000,0.0,1.4745957784338228
25,-3854.117814,1000,0.0,1.6555104280696513
26,-4021.582887,1000,0.0,1.7254437592087004
27,-5565.731174,1000,0.0,1.860219867904953
28,-5472.800124,1000,0.0,1.3436458899188388
29,-3368.503527,1000,0.0,1.5553220177392337
30,-3400.6219,1000,0.0,1.6756908992590234
31,-1807.799689,1000,0.0,0.8759986787728262
32,-5990.313185,1000,0.0,2.514774740487022
33,-1244.607518,1000,0.0,0.8801346056507804
34,-523.669092,1000,0.0,0.9429262276013797
35,-1295.188584,1000,0.0,0.8723787402331172
36,-940.45299,1000,0.0,0.7632530904558555
37,-989.402444,1000,0.0,1.0336035556911423
38,-902.881147,1000,0.0,0.7700678477831868
39,-785.65457,1000,0.0,0.7825622515282182
40,-1253.972138,1000,0.0,0.9822695720535303
