episode,reward,length,goal_reached,goal_distance
0,-2949.790223,1000,0.0,0.42655546012902457
1,-6455.114996,1000,0.0,2.244179691158145
2,-5303.294001,1000,0.0,1.221503722294055
3,-4362.8208,1000,0.0,1.5620498223064345
4,-4262.380047,1000,0.0,1.5620498223064345
5,-4250.459815,1000,0.0,1.5620498223064345
6,-4219.327747,1000,0.0,1.5620498223064345
7,-4197.289807,1000,0.0,1.5620498223064345
8,-4182.058373,1000,0.0,1.5620498223064345
9,-4324.444163,1000,0.0,1.7677629209428232
10,-6780.074979,1000,0.0,1.9483217932389725
11,-5855.405649,1000,0.0,1.7720685392873972
12,-4549.361371,1000,0.0,1.5620498223064345
13,-4309.907118,1000,0.0,1.5620498223064345
14,-4217.090053,1000,0.0,1.5620498223064345
15,-4154.176935,1000,0.0,1.5810700240779798
16,-4162.862067,1000,0.0,1.5620498223064345
17,-4385.37674,1000,0.0,1.5620498223064345
18,-2252.543101,1000,0.0,0.8701764071819659
19,-2996.941448,1000,0.0,1.5274329884104632
20,-2955.137945,1000,0.0,0.9978786177694204
21,-1779.233194,1000,0.0,0.41452957843911864
22,-1778.883457,1000,0.0,0.20418500604375278
23,-1110.592501,1000,0.0,0.25903737331637405
24,-1167.385476,511,1.0,0.3545004460756061
25,-1393.186123,438,1.0,0.3551113484417733
26,150.492228,1000,0.0,0.31473500195375836
27,6.511131,747,1.0,0.21792329302705873
28,-457.759959,729,1.0,0.24591397277698063
29,-1198.256382,1000,0.0,0.24242499744150459
30,-2303.645773,1000,0.0,1.243433500391031
31,-958.946516,754,1.0,0.197498045819956
32,-1137.351963,1000,0.0,0.7344121286139464
33,-6271.602937,1000,0.0,2.298879844170186
34,-482.521589,1000,0.0,0.7240490388845547
35,-529.797278,1000,0.0,0.40840994266610525
36,-813.009676,1000,0.0,0.777102675217973
37,-5345.614191,1000,0.0,2.035326831810368
38,-923.413448,1000,0.0,0.8990167106611586
39,-1218.717854,1000,0.0,0.8490514687036291
40,-965.041351,1000,0.0,0.8926506109912006
41,-715.049205,1000,0.0,0.7738839022736146
42,-536.296539,1000,0.0,2.723049264068758
43,-523.403989,1000,0.0,0.22290447023044474
44,-1443.361679,1000,0.0,0.4693161268554601
45,-3958.107492,1000,0.0,0.9858439007246684
46,-3708.372354,1000,0.0,1.3488015892254517
47,-6963.002636,1000,0.0,2.609373579149776
48,-6333.721319,1000,0.0,2.1596718541249538
49,-4728.421608,1000,0.0,1.8606448865073713
50,-4724.155276,1000,0.0,2.055821052033678
51,-4701.400164,1000,0.0,1.5620498223064345
52,-4335.835857,1000,0.0,1.5996137100521088
53,-4535.778716,1000,0.0,1.5698695878593862
54,-4266.899553,1000,0.0,1.5620498223064345
55,-6010.167036,1000,0.0,2.0813550807601344
56,-6649.006283,1000,0.0,3.091964458181702
57,-2504.294188,1000,0.0,1.3064316351981753
58,2340.123669,1000,0.0,0.38011089785024893
59,1531.382177,1000,0.0,0.4095017523626466
60,5597.028928,1000,0.0,0.38306705752639314
61,4246.89436,1000,0.0,0.401671188934191
62,4009.516487,1000,0.0,0.31731060375823794
63,-1911.074271,1000,0.0,1.0861504565572173
64,-904.530551,1000,0.0,0.9009669147444125
65,-1519.634774,1000,0.0,1.0098824661468397
66,-841.274959,1000,0.0,0.8302595605698052
67,-1222.9163,1000,0.0,0.8930315994989596
68,-1312.709061,1000,0.0,0.9019002797157448
69,-5717.82891,1000,0.0,2.2756665005552046
70,-6500.362035,1000,0.0,2.080471820697248
71,-1093.209947,1000,0.0,0.9511348949889268
72,-999.463793,1000,0.0,0.966832319683908
73,-1099.313554,1000,0.0,1.0126280993762264
74,-1170.898213,1000,0.0,0.9820272414652467
75,-450.412155,1000,0.0,0.8459034351946947
76,-589.858284,1000,0.0,0.8590136017701582
77,-738.219449,1000,0.0,0.8841646301092964
78,-948.027079,1000,0.0,1.012229609715417
79,-1395.174928,1000,0.0,0.9378053842442495
80,-1120.192851,1000,0.0,0.93262318073066
81,-905.357623,1000,0.0,0.8886913728432781
82,-2334.798257,1000,0.0,1.1279588100963198
83,-951.544662,1000,0.0,0.9205126935658405
84,-1525.593039,1000,0.0,0.7306275655904908
85,-1627.177717,1000,0.0,1.0092456242389638
86,-1798.595693,1000,0.0,0.9886437925653914
87,-1751.99832,1000,0.0,0.9473565765493115
88,-1772.766767,1000,0.0,0.9252557168915144
89,-936.384759,1000,0.0,0.7826321386731295
90,-894.813382,1000,0.0,0.7756223737197059
91,-804.541016,1000,0.0,0.652403409537827
92,-1261.638829,1000,0.0,0.7659446961202447
93,-1078.694994,1000,0.0,0.779255329837443
94,-988.12796,1000,0.0,0.7766915473572752
95,-1219.816062,1000,0.0,1.1274490133084818
96,-2360.803906,1000,0.0,1.1824730659247307
97,-2836.631174,1000,0.0,0.7505057940042984
98,-1563.62565,1000,0.0,0.7382785754651657
99,-1628.606078,1000,0.0,0.7222479389099504
100,-1717.419093,1000,0.0,0.6160963375510203
101,-1794.956118,1000,0.0,0.7464026719215571
102,-1931.296449,1000,0.0,0.6912650592543531
103,6582.655823,1000,0.0,0.16921172246064986
104,7014.127747,1000,0.0,0.1792891841318084
105,6477.065508,1000,0.0,0.2005514312540885
106,5691.585787,1000,0.0,0.20476490718908752
107,-1169.435074,1000,0.0,0.9483269987476733
108,-1621.470571,1000,0.0,1.0235920166183687
109,-1543.74931,1000,0.0,0.940439477048573
110,-875.212,1000,0.0,0.7436723226411692
111,-536.40577,1000,0.0,0.742949039675299
112,-996.970677,1000,0.0,0.8767603873487236
113,-1267.344303,1000,0.0,0.9211668593891871
114,-1360.567565,1000,0.0,0.9602858933190392
115,-1381.657276,1000,0.0,0.9391026644803462
116,-1206.850451,1000,0.0,0.8742909280446455
117,-1174.304527,1000,0.0,0.8893367935520645
118,-1374.405689,1000,0.0,0.9426447385055554
119,-1485.941947,1000,0.0,0.9473989404748457
120,-1541.070424,1000,0.0,0.9498692045240784
121,-1501.291963,1000,0.0,0.9397739618229684
122,-1563.133408,1000,0.0,0.96526156055173
123,-1518.695993,1000,0.0,0.9187579430853821
124,7533.374506,1000,0.0,0.295482159800862
125,-1833.934144,1000,0.0,1.4655787269706166
126,2956.319411,1000,0.0,0.1814030592615339
127,-1238.56023,1000,0.0,0.8983338937832531
128,-1265.12254,1000,0.0,0.9726049567341641
129,-1149.057991,1000,0.0,0.9803052465427793
130,10968.802522,1000,0.0,0.2337337148167141
131,10649.189286,1000,0.0,0.23159741180298887
132,-1077.303254,1000,0.0,0.9554502450505015
133,-974.217586,1000,0.0,0.8826058101746903
134,-1073.374206,1000,0.0,0.878892712224757
135,-1358.374622,1000,0.0,0.8680382436839601
136,-666.813985,1000,0.0,0.7693276742635956
137,-712.119718,1000,0.0,0.8445122201764477
138,-687.172498,1000,0.0,0.8191483231712502
139,-768.838685,1000,0.0,0.8586921717435154
140,-857.244833,1000,0.0,0.8745954874685834
141,-831.270718,1000,0.0,0.8643414490098504
142,12011.335301,1000,0.0,0.2477642804826286
143,-1385.307495,1000,0.0,0.4012902620366474
144,7390.058596,1000,0.0,0.24151694380900074
145,7809.447376,1000,0.0,0.23744107393891864
146,9833.986942,1000,0.0,0.2341795825963948
147,11994.918787,1000,0.0,0.2235379282769795
148,11975.278415,1000,0.0,0.22133482586128816
149,11799.702906,1000,0.0,0.23814190862480447
150,11631.352415,1000,0.0,0.25587972575261453
151,11057.397847,1000,0.0,0.2511673704770876
152,12294.291374,1000,0.0,0.22317315438365123
153,13418.599503,1000,0.0,0.2085744210968422
154,12830.764931,1000,0.0,0.19071014411401294
155,13249.613202,1000,0.0,0.19550294936096982
156,12556.170823,1000,0.0,0.1825907094387109
157,12942.013522,1000,0.0,0.20006593259508096
158,12667.052082,1000,0.0,0.19713307424680318
159,13143.956178,1000,0.0,0.19837344282269592
160,-4164.468852,1000,0.0,1.5620498223064345
161,-4145.242699,1000,0.0,1.5620498223064345
162,9024.607295,1000,0.0,0.23226297807699234
163,-4067.336746,1000,0.0,1.5620498223064345
164,-4166.018415,1000,0.0,1.6133514059697824
165,-4580.450393,1000,0.0,1.645937847210272
166,12606.693838,1000,0.0,0.18973471321851146
167,12146.221596,1000,0.0,0.20604067157697734
168,11650.999914,1000,0.0,0.20869180719115213
169,-517.313483,1000,0.0,0.7390886458039937
170,-394.397454,1000,0.0,0.6795460988052384
171,-4421.811164,1000,0.0,1.611516342938734
172,-920.681529,1000,0.0,0.8869915945099239
173,-718.647261,1000,0.0,0.7887862193044067
174,-5615.606734,1000,0.0,1.6281857582885764
175,-4428.164553,1000,0.0,1.5836607315798923
176,-4087.21669,1000,0.0,1.5702332334739293
177,-4028.932633,1000,0.0,1.5620498223064345
178,-4016.889968,1000,0.0,1.5620498223064345
179,-4011.797093,1000,0.0,1.5620498223064345
180,-4031.793526,1000,0.0,1.5620498223064345
181,-4042.833475,1000,0.0,1.5666609921567618
182,13597.362951,1000,0.0,0.23270231766273447
183,13433.52967,1000,0.0,0.2673853060308764
184,13584.678681,1000,0.0,0.27490637284940056
185,13472.911543,1000,0.0,0.3437585752715321
186,12818.039361,1000,0.0,0.3305041304312481
187,12562.696964,1000,0.0,0.41371207690353856
188,10361.215991,1000,0.0,0.5030140220601793
189,12019.902843,1000,0.0,0.3417302304205956
190,12034.891775,1000,0.0,0.3269343922140617
191,12680.324228,1000,0.0,0.29626839659087584
192,12474.414423,1000,0.0,0.2909020440994767
193,12400.459929,1000,0.0,0.30591859984905007
194,13338.474795,1000,0.0,0.29775953993938997
195,13192.086553,1000,0.0,0.34859636032344704
196,13365.876602,1000,0.0,0.3068688680658258
197,13819.786553,1000,0.0,0.29069727186021443
198,13764.101721,1000,0.0,0.2923484724725762
199,13830.988591,1000,0.0,0.2785652689696056
200,13618.568346,1000,0.0,0.31676637581557066
201,14677.72882,1000,0.0,0.3059920400141001
202,14160.856963,1000,0.0,0.32022827238078794
203,14698.93224,1000,0.0,0.277915283480703
204,14547.001441,1000,0.0,0.2790262841723005
205,14267.15614,1000,0.0,0.30310224152513227
206,14693.344443,1000,0.0,0.29076706141678427
207,14479.245105,1000,0.0,0.2817096138951867
208,13879.316329,1000,0.0,0.2887708276606982
209,10002.502447,1000,0.0,0.32120598264990335
210,15593.725132,1000,0.0,0.2946849798708402
211,9620.441422,1000,0.0,0.31548947739717925
212,9599.946083,1000,0.0,0.2809355637312606
213,15769.103984,1000,0.0,0.3180534781081421
214,15212.647775,1000,0.0,0.33840932287711856
215,14931.175147,1000,0.0,0.38982810966221404
216,15235.015252,1000,0.0,0.3674455042853629
217,14319.127138,1000,0.0,0.39222030557763604
218,13961.121114,1000,0.0,0.3830502380014841
219,12711.93807,1000,0.0,0.36084652899695485
220,13350.012878,1000,0.0,0.3686468751413524
221,11296.342498,1000,0.0,0.34805454919142065
222,12574.116916,1000,0.0,0.3673294293185443
223,-243.91408,1000,0.0,0.7955467961981522
224,-319.84281,1000,0.0,0.8002721418371351
225,-474.992285,1000,0.0,0.8333251570823083
226,-588.853706,1000,0.0,0.8581194047045364
227,-557.03636,1000,0.0,0.8457117635271799
228,-532.058207,1000,0.0,0.8435261129765783
229,-659.353927,1000,0.0,0.8389591170883215
230,-600.553011,1000,0.0,0.8683016423335314
231,9294.444101,1000,0.0,0.4341751267023993
232,9819.56664,1000,0.0,0.294717835612372
233,-28.762944,1000,0.0,0.6845597655448603
234,3307.774433,1000,0.0,0.1875404404933329
235,13887.954984,1000,0.0,0.48265194148644497
236,13164.175501,1000,0.0,0.39080472458011617
237,14901.27742,1000,0.0,0.32765481051670764
238,14307.725542,1000,0.0,0.4146123032704223
239,15039.289166,1000,0.0,0.4141701366833248
240,14629.292176,1000,0.0,0.3447672509979132
241,15741.661036,1000,0.0,0.3786967390926934
242,15667.800024,1000,0.0,0.3761983522106117
243,16034.256075,1000,0.0,0.32965684452819294
244,15833.108335,1000,0.0,0.3436345341726032
245,15756.745487,1000,0.0,0.40932661482861665
246,14367.559668,1000,0.0,0.31513024931078304
247,13866.29383,1000,0.0,0.3695423325159861
248,13279.017183,1000,0.0,0.320908501052857
249,12565.268883,1000,0.0,0.3435966091879814
250,13162.662386,1000,0.0,0.3468643259352667
251,16519.418418,1000,0.0,0.39292755409853647
252,16032.000024,1000,0.0,0.36532933286922187
253,16198.35142,1000,0.0,0.38236163899037723
254,-665.534429,1000,0.0,0.691999176732993
255,1081.601626,1000,0.0,0.20121542064984207
256,17034.673538,1000,0.0,0.3105147975370642
257,16591.090893,1000,0.0,0.3847606302517283
258,17196.033193,1000,0.0,0.26389108388005217
259,17476.813702,1000,0.0,0.2347361782102485
260,-1020.391956,1000,0.0,0.789737955023583
261,-1145.059933,1000,0.0,0.9780183095856059
262,-1548.639046,1000,0.0,1.13993863600632
263,-1748.622574,1000,0.0,1.2497933402848904
264,-1946.841187,1000,0.0,1.1178082254867052
265,-1523.655966,1000,0.0,0.8950063348333341
266,16272.368768,1000,0.0,0.34900543408758233
267,16533.410903,1000,0.0,0.3636718612012088
268,16988.289045,1000,0.0,0.3495785897847071
269,40.801144,1000,0.0,0.6791108076954415
270,17511.746369,1000,0.0,0.3426414152070896
271,16730.814708,1000,0.0,0.36421913890346913
272,17327.265746,1000,0.0,0.36774930035257514
273,17126.15891,1000,0.0,0.3746597985322862
274,17010.563027,1000,0.0,0.37060876700389817
