episode,reward,length,goal_reached,goal_distance
0,-6730.552959,1000,0.0,1.5691599825773468
1,-5443.058764,1000,0.0,2.703348050740324
2,-2596.066376,1000,0.0,0.988188390336092
3,-480.756967,1000,0.0,0.6439217211287432
4,-287.456607,1000,0.0,0.6153544126042326
5,-117.264936,1000,0.0,0.5873933174442214
6,1418.851951,1000,0.0,0.3632535555434686
7,1666.464238,1000,0.0,0.263407543805621
8,718.095596,1000,0.0,0.7639477350308709
9,1524.726769,1000,0.0,0.2514630983373862
10,1011.897839,1000,0.0,0.6626683079814853
11,1523.66354,1000,0.0,0.4059186263974883
12,1141.275847,1000,0.0,0.46912285278476007
13,2453.478393,1000,0.0,0.26746517707830925
14,1977.018708,1000,0.0,0.05202698960376103
15,2061.488193,1000,0.0,0.06909069580184038
16,2009.454654,1000,0.0,0.126759876710205
17,2109.016026,1000,0.0,0.09716409813387465
18,1942.397883,1000,0.0,0.17135476422184578
19,1739.530637,1000,0.0,0.3081325368012675
20,2084.213968,1000,0.0,0.27904091432917794
21,2891.042381,1000,0.0,0.5116825621409725
22,-97.118604,1000,0.0,0.49684171054541737
23,5168.79966,1000,0.0,0.4568464143207604
24,2656.061713,604,1.0,0.4701164353569473
25,1687.627735,1000,0.0,0.23691654131094628
26,1516.731121,512,1.0,0.40838743082835427
27,467.903058,1000,0.0,0.6515751828872042
28,636.295154,1000,0.0,0.6630329117227124
29,226.166651,1000,0.0,0.7568054530723236
30,68.687895,1000,0.0,0.7590462340064903
31,57.034524,1000,0.0,0.7506566208857394
32,-252.033981,1000,0.0,1.1601313635166135
33,-2894.768959,1000,0.0,1.537482686205444
34,3000.979934,1000,0.0,0.4734665392499398
35,6112.784356,442,1.0,0.3739004229866719
36,-1448.168342,1000,0.0,0.8398785024784425
37,-780.548908,1000,0.0,1.007283814093175
38,-425.539925,1000,0.0,0.9315771794794776
39,-457.121742,1000,0.0,0.7857389898345779
40,-227.605132,1000,0.0,0.8553007643058895
41,-68.801902,1000,0.0,0.6976601872513906
42,-40.011507,1000,0.0,0.9603088161575466
43,-472.947292,1000,0.0,0.8463871262064417
44,311.562129,1000,0.0,0.734544562256972
45,139.367354,1000,0.0,0.8079875290305413
46,148.971896,1000,0.0,0.782936726089224
47,-186.169941,1000,0.0,0.9291418424652871
48,-399.54025,1000,0.0,0.8471149270239648
49,-122.506812,1000,0.0,0.7822132073123882
50,272.815154,1000,0.0,0.7244276590846618
51,306.566546,1000,0.0,0.8001735942891881
52,283.101265,1000,0.0,0.7566764848983334
53,108.440613,1000,0.0,0.8112530108174245
54,-48.929865,1000,0.0,0.91535447220298
55,-172.120164,1000,0.0,0.8873446698730181
56,-145.491605,1000,0.0,0.7895200012312514
57,268.058925,1000,0.0,0.6952335575918579
58,740.289286,1000,0.0,0.6751001715958743
59,769.695016,1000,0.0,0.6722368871949126
60,799.532004,1000,0.0,0.6908926296909101
61,784.664123,1000,0.0,0.6493621278275604
62,17949.769196,1000,0.0,0.5502966239621074
63,1195.991381,268,1.0,0.48063840649923917
64,370.880766,214,1.0,0.5220138260331786
65,811.083436,262,1.0,0.495278433252925
66,1054.771174,268,1.0,0.5244383007428118
67,540.602798,216,1.0,0.5183589227999834
68,471.990774,231,1.0,0.5685217837709154
69,464.309817,214,1.0,0.5406371655777483
70,512.603414,220,1.0,0.5774013796754873
71,463.029215,200,1.0,0.5424815116399699
72,3176.503143,337,1.0,0.48495193927235714
73,500.414602,217,1.0,0.5078380990731565
74,523.758937,222,1.0,0.4859760583558386
75,597.257944,244,1.0,0.5158163498298026
76,832.786346,255,1.0,0.530183861280426
77,1024.66205,234,1.0,0.45691502469576767
78,918.752706,252,1.0,0.5303575940800794
79,770.769699,271,1.0,0.5759995624137103
80,5227.132545,455,1.0,0.5312443683068956
81,11556.331842,1000,0.0,0.4751422937138162
82,12575.872242,1000,0.0,0.45583216042107083
83,15737.677979,1000,0.0,0.3540404610392746
84,15488.412906,1000,0.0,0.3079831582187043
85,16468.732477,1000,0.0,0.29205503552512063
86,17065.526741,1000,0.0,0.3251251433557323
87,19197.356824,1000,0.0,0.3774013016552074
88,19999.811925,1000,0.0,0.5141104091454632
89,20410.532289,1000,0.0,0.5125964720869106
90,19666.960038,1000,0.0,0.4765945550248175
91,16779.525149,1000,0.0,0.47792617176354246
92,12567.291869,1000,0.0,0.5175477041946541
93,11196.042248,1000,0.0,0.43571353331300977
94,13172.234297,1000,0.0,0.5849205068535703
95,1191.312983,1000,0.0,0.8845239498961024
96,12512.213487,1000,0.0,0.6133669532158156
97,12966.582861,1000,0.0,0.5573380460673414
98,12892.101233,1000,0.0,0.5966866984418541
99,12900.175667,1000,0.0,0.6007333528547248
100,14631.798254,1000,0.0,0.5982526094543289
101,15123.579852,1000,0.0,0.5908834840043048
102,16333.049225,1000,0.0,0.598720026703547
103,18595.520033,1000,0.0,0.5685112281028133
104,18608.108721,1000,0.0,0.5892343369469423
105,19178.123257,1000,0.0,0.6001897569097575
106,19206.752328,1000,0.0,0.5939263753779706
107,19033.192296,1000,0.0,0.46760183998574967
108,19849.299056,1000,0.0,0.5912240531031089
109,18117.875423,1000,0.0,0.540938199047034
110,18628.565856,1000,0.0,0.32248407268390933
111,19158.517477,1000,0.0,0.29734912609341796
112,18838.605151,1000,0.0,0.29296644531444554
113,18714.884549,1000,0.0,0.28918306850549363
114,18154.336969,1000,0.0,0.29405791755627864
115,18933.80416,1000,0.0,0.28626640530555864
116,19636.369058,1000,0.0,0.55994358074203
117,18523.576999,1000,0.0,0.5297690823035219
118,19605.55994,1000,0.0,0.5282311916615724
119,19398.617785,1000,0.0,0.4931670636194882
120,19382.677527,1000,0.0,0.515354365205006
121,19603.589345,1000,0.0,0.5288455076333218
122,21401.934872,1000,0.0,0.5146309644475312
123,19630.001068,1000,0.0,0.5080568945234424
124,19301.634906,1000,0.0,0.530258134136001
125,19084.408772,1000,0.0,0.5275243350486287
126,20963.857223,1000,0.0,0.5323143081502207
127,21413.340188,1000,0.0,0.5064827625126209
128,21686.751711,1000,0.0,0.5305979089580962
129,19895.233367,1000,0.0,0.5186966424432077
130,21442.660701,1000,0.0,0.5244651795267525
131,20539.043563,1000,0.0,0.4784631058442286
132,21663.565422,1000,0.0,0.5319007534815177
133,20785.304602,1000,0.0,0.5304427466481407
134,21369.222548,1000,0.0,0.5251997894557047
135,21569.162556,1000,0.0,0.5069799643828854
136,20634.930544,1000,0.0,0.5210150923049264
137,21541.730564,1000,0.0,0.5281395371885721
138,21215.206658,1000,0.0,0.52592015172645
139,20202.20108,1000,0.0,0.5383048899177039
140,21029.146211,1000,0.0,0.5460125616491038
141,21361.497296,1000,0.0,0.5239972024398758
142,21845.3054,1000,0.0,0.5353747027426992
143,21986.90143,1000,0.0,0.5281684770380665
144,20084.302934,1000,0.0,0.518134395537639
145,20368.366099,1000,0.0,0.5347826834039152
146,21527.038104,1000,0.0,0.5290756029239096
147,21598.663786,1000,0.0,0.5296682066248688
148,21704.586845,1000,0.0,0.5103057063737633
149,21815.718461,1000,0.0,0.5139726272837525
150,21498.221644,1000,0.0,0.49182848646187566
151,21501.442962,1000,0.0,0.4958127426576054
152,21677.268964,1000,0.0,0.4897838764542875
153,21711.153477,1000,0.0,0.4821038973580276
154,21786.005385,1000,0.0,0.46910961187532974
155,22112.890666,1000,0.0,0.45769092863930605
156,21875.74345,1000,0.0,0.49538818213014124
157,22071.350081,1000,0.0,0.4578392171484785
158,22134.336738,1000,0.0,0.48238772806798946
159,21940.376964,1000,0.0,0.47837374768423085
160,22168.861824,1000,0.0,0.4680503492134605
161,22356.916832,1000,0.0,0.47484974264217633
162,22640.31399,1000,0.0,0.4710153167821705
163,22301.87058,1000,0.0,0.4849112515728746
164,22407.909172,1000,0.0,0.47346197532326934
165,22589.618936,1000,0.0,0.47942672609579234
166,22280.474811,1000,0.0,0.47460560689864234
167,22499.98726,1000,0.0,0.4787913077672742
168,22647.103594,1000,0.0,0.468424852542698
169,22520.90979,1000,0.0,0.4799317273968633
170,22349.105239,1000,0.0,0.47873999041386595
171,22416.87112,1000,0.0,0.4778803061198465
172,22461.487047,1000,0.0,0.4653715869220996
173,22495.834803,1000,0.0,0.4807633155974602
174,22305.027497,1000,0.0,0.495868210524892
175,22406.376153,1000,0.0,0.4883337911831148
176,22488.082259,1000,0.0,0.4824363088369267
177,22348.408895,1000,0.0,0.48642355576557406
178,22452.71946,1000,0.0,0.48196156166200155
179,22528.050837,1000,0.0,0.47609166339048686
180,22497.929408,1000,0.0,0.48784318411753635
181,22275.079637,1000,0.0,0.47422154570998243
182,22288.267313,1000,0.0,0.4730981143656349
183,22445.380148,1000,0.0,0.47831139057694927
184,22679.471531,1000,0.0,0.4840771177366749
185,22461.290687,1000,0.0,0.48533320646640693
186,22622.994986,1000,0.0,0.479776237933644
187,22643.588625,1000,0.0,0.47418266402294795
188,22419.213223,1000,0.0,0.4814594289808889
189,22534.15539,1000,0.0,0.4825881789129492
190,22481.742694,1000,0.0,0.4796194818635355
191,21908.038073,1000,0.0,0.46359830220900955
192,22808.584889,1000,0.0,0.4759658309584198
193,22596.505494,1000,0.0,0.48207795984380175
194,22740.523511,1000,0.0,0.47893318618345837
195,22841.35369,1000,0.0,0.48773152839119904
196,22564.289059,1000,0.0,0.48415798879860755
197,22058.015466,1000,0.0,0.43227706409112127
198,22928.110296,1000,0.0,0.4744986174932924
199,22878.584391,1000,0.0,0.4566964712102124
200,22836.954782,1000,0.0,0.45198097830766376
201,22744.811351,1000,0.0,0.46787828876771564
202,22543.203486,1000,0.0,0.46222272296677436
203,22422.366526,1000,0.0,0.45718724005338646
204,22797.281635,1000,0.0,0.468908747099412
205,22788.221334,1000,0.0,0.45565216867122427
206,23263.829344,1000,0.0,0.47187397051231367
207,22821.958376,1000,0.0,0.4646800738149304
208,23223.016209,1000,0.0,0.46406455107961136
209,22876.566609,1000,0.0,0.46935124453187094
210,22363.658583,1000,0.0,0.5080240279524529
211,22361.169578,1000,0.0,0.46101180259260344
212,22525.161824,1000,0.0,0.5139704549662653
213,22522.914918,1000,0.0,0.5174477893812349
214,22293.97836,1000,0.0,0.491780882356208
215,22341.900744,1000,0.0,0.497877308437338
216,21947.704392,1000,0.0,0.5217865772675747
217,22051.360207,1000,0.0,0.49543611365179474
218,21749.005251,1000,0.0,0.49750818649564393
219,21744.970375,1000,0.0,0.43111010481814027
220,21805.006106,1000,0.0,0.4284533380961693
221,22181.709724,1000,0.0,0.40814657704593205
222,22404.640753,1000,0.0,0.508004742994146
223,22143.26352,1000,0.0,0.3536193323236081
224,22349.737939,1000,0.0,0.5153147033273567
225,22337.435159,1000,0.0,0.48375740122294164
226,22042.513578,1000,0.0,0.4793102797578184
227,21798.72651,1000,0.0,0.5025977699343914
228,21640.580566,1000,0.0,0.5084048515643003
229,22568.004587,1000,0.0,0.48086247180575076
230,22769.80553,1000,0.0,0.4718699489370056
231,21951.154116,1000,0.0,0.48037909687208996
232,22818.316554,1000,0.0,0.46858820838292115
233,23054.974452,1000,0.0,0.46698208309748857
234,22782.465606,1000,0.0,0.46289325224094396
235,22983.905445,1000,0.0,0.45412657639556253
236,23416.847746,1000,0.0,0.473489992634103
237,22904.371552,1000,0.0,0.4702789940291925
238,23086.39583,1000,0.0,0.4659576302092545
239,22997.546687,1000,0.0,0.4626345061474777
240,22946.93037,1000,0.0,0.4739475591680661
241,-2490.814429,1000,0.0,1.2539200111298652
242,-1968.375027,1000,0.0,1.6610360295641544
243,-3018.096507,1000,0.0,1.602629736856501
244,-3575.831217,1000,0.0,1.9249162081926139
245,-3931.273378,1000,0.0,1.9249162081926139
246,-3848.113706,1000,0.0,1.9604986741556152
247,20667.876085,1000,0.0,0.46686151127920056
248,20830.355204,1000,0.0,0.4616372543058161
249,21474.112717,1000,0.0,0.4709421128010753
250,14256.212808,1000,0.0,0.48684186755143577
251,23203.038197,1000,0.0,0.4681417073856549
252,23181.009603,1000,0.0,0.4754524187544279
253,23005.229573,1000,0.0,0.4722335510917608
254,23170.368157,1000,0.0,0.466700034335839
255,23168.472027,1000,0.0,0.4586058093950792
256,23227.417788,1000,0.0,0.456150503304507
257,23189.594232,1000,0.0,0.45608544666927603
258,23267.538764,1000,0.0,0.45143212129754917
259,23191.471388,1000,0.0,0.45000537057631373
260,23203.531697,1000,0.0,0.4432301694856997
261,23391.979314,1000,0.0,0.4332371778904287
262,24032.09695,1000,0.0,0.439400916861409
263,24029.014204,1000,0.0,0.4511151672033366
264,23604.671783,1000,0.0,0.44299387149754377
265,24094.235642,1000,0.0,0.433719383770338
266,23956.108605,1000,0.0,0.43517442006805
267,23414.184794,1000,0.0,0.44063956662870135
268,23601.446406,1000,0.0,0.43460843342364663
269,23495.327651,1000,0.0,0.44539870441639995
270,23480.106834,1000,0.0,0.43395080471947095
271,23203.865517,1000,0.0,0.44472115427627656
272,23573.162939,1000,0.0,0.4408602983845798
273,23259.68719,1000,0.0,0.43840210787636674
