episode,reward,length,goal_reached,goal_distance
0,-4722.564903,1000,0.0,0.5000320997820158
1,-3638.177967,1000,0.0,2.0844351432941135
2,26.619128,1000,0.0,0.6870041722997368
3,829.142529,1000,0.0,0.3327314180608086
4,2106.042348,1000,0.0,0.04074905542484535
5,1974.059824,1000,0.0,0.21629353806492577
6,26.329308,1000,0.0,0.7941025657356445
7,129.622411,1000,0.0,0.765792005899173
8,1909.640022,1000,0.0,0.2546853873403708
9,394.189405,1000,0.0,0.7431952535428803
10,137.266026,1000,0.0,0.8023258702761581
11,2291.103405,1000,0.0,0.14500645030514564
12,2286.747549,1000,0.0,0.14583074972006824
13,2388.644056,1000,0.0,0.14406694285078467
14,2336.959217,1000,0.0,0.13537309001749856
15,788.879187,1000,0.0,0.7125193499812756
16,622.369223,1000,0.0,0.6816389571732911
17,728.058037,1000,0.0,0.6894541409868991
18,843.610714,1000,0.0,0.6695611176420312
19,897.653179,1000,0.0,0.6568702845797642
20,922.748884,1000,0.0,0.6661813818301916
21,945.477997,1000,0.0,0.6684768095358831
22,949.26677,1000,0.0,0.6783816111935016
23,940.539861,1000,0.0,0.6857442420978133
24,920.828873,1000,0.0,0.6932093841136023
25,893.707545,1000,0.0,0.6985727534916337
26,895.516267,1000,0.0,0.6773939494981102
27,923.305332,1000,0.0,0.6846938772914111
28,933.269645,1000,0.0,0.6765108964814013
29,945.265521,1000,0.0,0.6713943406015073
30,948.799961,1000,0.0,0.667006980739956
31,954.979587,1000,0.0,0.6514500259752194
32,908.213178,1000,0.0,0.6556796538545624
33,2557.584125,1000,0.0,0.0635116212977223
34,1122.131978,1000,0.0,0.055015147264412596
35,2438.054601,1000,0.0,0.05871128786902897
36,2600.489714,1000,0.0,0.057167007442906884
37,2661.65434,1000,0.0,0.03707211975895417
38,2668.505546,1000,0.0,0.041033710870022534
39,2691.058014,1000,0.0,0.03588830957270241
40,2711.480703,1000,0.0,0.028917825543030025
41,2723.80266,1000,0.0,0.028586092427715964
42,2742.948693,1000,0.0,0.02575130213527358
43,2741.097619,1000,0.0,0.022759125432036436
44,-687.712614,1000,0.0,0.8220868424637497
45,-727.093112,1000,0.0,0.7623522985855128
46,-286.719858,1000,0.0,0.7079938557957478
47,606.493461,1000,0.0,0.020130626523925
48,2457.235912,1000,0.0,0.025691006569939185
49,2534.962445,1000,0.0,0.027851397689822966
50,558.142129,1000,0.0,0.6873558728999026
51,767.565248,1000,0.0,0.6920207687329862
52,823.814313,1000,0.0,0.6912290025115239
53,892.516671,1000,0.0,0.6809894161267244
54,920.615639,1000,0.0,0.6848628459682765
55,951.806374,1000,0.0,0.6821555397112737
56,939.683391,1000,0.0,0.6810196378656715
57,932.785387,1000,0.0,0.6813361828594979
58,938.650756,1000,0.0,0.6822159840090125
59,2572.60927,1000,0.0,0.012554943626071865
60,2694.86366,1000,0.0,0.022053262881153488
61,2605.738922,1000,0.0,0.044451996979565284
62,2569.028659,1000,0.0,0.01934398027282798
63,2671.108546,1000,0.0,0.03372419115038242
64,2713.607055,1000,0.0,0.020451836972439626
65,2721.787633,1000,0.0,0.009428250162613318
66,2702.021855,1000,0.0,0.013028242180132352
67,2740.114897,1000,0.0,0.02031112149073251
68,2770.849036,1000,0.0,0.015895708828741716
69,2761.214132,1000,0.0,0.006771631375370843
70,2781.944811,1000,0.0,0.0013868862553847552
71,2743.918907,1000,0.0,0.033356048448220585
72,2732.985307,1000,0.0,0.027816969004556668
73,2708.552508,1000,0.0,0.0310832633122424
74,2705.565809,1000,0.0,0.020370128537922808
75,2730.943581,1000,0.0,0.030432279504441332
76,2668.148658,1000,0.0,0.03558636896655717
77,2666.881077,1000,0.0,0.033609620610155114
78,2581.805231,1000,0.0,0.0910414299371705
79,2426.454968,1000,0.0,0.09127683477268235
80,2598.282295,1000,0.0,0.015752196560972462
81,2701.85895,1000,0.0,0.010383502582448063
82,2732.273347,1000,0.0,0.01044950430173249
83,2745.674932,1000,0.0,0.0074369592453933046
84,2770.509513,1000,0.0,0.018029611679057596
85,2672.08693,1000,0.0,0.025524251831150244
86,845.152426,1000,0.0,0.6821409853005551
87,927.321871,1000,0.0,0.6816225612929897
88,952.195203,1000,0.0,0.6922051145304048
89,912.475735,1000,0.0,0.6939317461733951
90,944.29938,1000,0.0,0.6724444397073566
91,956.946479,1000,0.0,0.6584164065799113
92,978.840716,1000,0.0,0.6299047514834547
93,2789.161115,1000,0.0,0.00873546373113619
94,2803.393714,1000,0.0,0.017998315004432813
95,2794.03061,1000,0.0,0.016203720857624306
96,2788.73716,1000,0.0,0.010329335601001435
97,2797.37908,1000,0.0,0.012428502744699425
98,2801.843772,1000,0.0,0.006733926714460917
99,2801.133625,1000,0.0,0.010199543372250586
100,2799.787887,1000,0.0,0.00867389515446052
101,2808.377433,1000,0.0,0.008455850454457414
102,2816.599114,1000,0.0,0.009888089365167642
103,2817.847533,1000,0.0,0.008764610082233887
104,2815.661295,1000,0.0,0.0055899894474287105
105,2807.040547,1000,0.0,0.01074786055111253
106,2801.231586,1000,0.0,0.010854254270842786
107,2801.032167,1000,0.0,0.011782112264105101
108,2761.674624,1000,0.0,0.006272839400454051
109,2768.050788,1000,0.0,0.00962274071313054
110,2769.814531,1000,0.0,0.004799251266625124
111,2781.546806,1000,0.0,0.0033709146012228363
112,2789.35243,1000,0.0,0.0075161935835969884
113,2800.730677,1000,0.0,0.007128806252725878
114,2796.568294,1000,0.0,0.002751419649909932
115,2811.444047,1000,0.0,0.004735079379236022
116,2812.828605,1000,0.0,0.004892792186362129
117,2809.581224,1000,0.0,0.009438698461759007
118,2806.945954,1000,0.0,0.014930216916319215
119,2802.806864,1000,0.0,0.00464607791381703
120,2810.115519,1000,0.0,0.0059058379034098545
121,2813.587748,1000,0.0,0.004961859558967756
122,2816.678992,1000,0.0,0.004581818089638141
123,2816.438848,1000,0.0,0.0023092239162257034
124,2814.613861,1000,0.0,0.0008626064633284122
125,2821.66007,1000,0.0,0.003723393335400134
126,2823.157614,1000,0.0,0.0015849100595858431
127,2808.215438,1000,0.0,0.0022123229574094166
128,2789.236728,1000,0.0,0.0041595665315245075
129,2785.971489,1000,0.0,0.0018378118560378738
130,2771.73882,1000,0.0,0.006954550043497574
131,2787.932699,1000,0.0,0.004968992983425314
132,2787.598195,1000,0.0,0.005353382680906175
133,2787.699741,1000,0.0,0.004955612889873481
134,2798.629732,1000,0.0,0.002978884419004594
135,2797.06812,1000,0.0,0.004323775966529757
136,2811.53287,1000,0.0,0.0022481828020825705
137,2800.562509,1000,0.0,0.0018941573058044187
138,2808.296134,1000,0.0,0.0073171809195013504
139,2805.298055,1000,0.0,0.0053541944264219815
140,2797.854677,1000,0.0,0.003122022129474958
141,2804.751487,1000,0.0,0.006072649844222622
142,2792.915338,1000,0.0,0.0053003300797891525
143,2813.144658,1000,0.0,0.005015516380310334
144,2779.982918,1000,0.0,0.0028577177033973313
145,2814.860086,1000,0.0,0.006010400334851829
146,2810.139769,1000,0.0,0.0038322550802397017
147,2810.830993,1000,0.0,0.0049951333051583766
148,2805.68399,1000,0.0,0.00383048464592513
149,2809.424017,1000,0.0,0.004952220125952785
150,2815.809896,1000,0.0,0.0038840584239234863
151,2830.549797,1000,0.0,0.0036947242751394467
152,2815.216006,1000,0.0,0.006203317459127379
153,2819.378493,1000,0.0,0.006118562907282493
154,2827.892284,1000,0.0,0.0033426283335262685
155,2826.441904,1000,0.0,0.002050185237377956
156,2824.159764,1000,0.0,0.005873146745574301
157,2829.006606,1000,0.0,0.0011167457035944196
158,2834.273438,1000,0.0,0.004207247005119309
159,2830.712075,1000,0.0,0.005199177781622739
160,2822.717426,1000,0.0,0.0015504560929698432
161,2822.595379,1000,0.0,0.0030330981120925207
162,2824.511166,1000,0.0,0.0014980183224056155
163,2828.530268,1000,0.0,0.002554189131923088
164,2816.894729,1000,0.0,0.003722435107413941
165,2819.133354,1000,0.0,0.002739863148286263
166,2835.520253,1000,0.0,0.0024019598234347687
167,2831.579997,1000,0.0,0.007354392006111965
168,2825.343024,1000,0.0,0.002192032520178321
169,2834.070915,1000,0.0,0.000922701190382062
170,2838.178721,1000,0.0,0.0026670224793643904
171,2831.072907,1000,0.0,0.003940534949855147
172,2826.541076,1000,0.0,0.0014185851924959525
173,2834.884266,1000,0.0,0.005301148736372986
174,2829.656544,1000,0.0,0.0018610448982219249
175,2826.127237,1000,0.0,0.001793650944703221
176,2826.9923,1000,0.0,0.00302316407295447
177,2835.738774,1000,0.0,0.00465256639495197
178,2825.430064,1000,0.0,0.0038487851354982823
179,2821.804603,1000,0.0,0.005695655862570437
180,2823.324488,1000,0.0,0.00816753497172462
181,2821.449258,1000,0.0,0.00386205181410553
182,2820.205473,1000,0.0,0.00228014891388358
183,2825.337447,1000,0.0,0.005059239318949867
184,2830.606436,1000,0.0,0.0017027897576092654
185,2829.126657,1000,0.0,0.000769905361214814
186,2824.544021,1000,0.0,0.0005840924950674867
187,2826.412107,1000,0.0,0.004159944769149102
188,2835.502668,1000,0.0,0.002882663876531497
189,2833.630438,1000,0.0,0.0026405782340632906
190,2843.614651,1000,0.0,0.004681642088595368
191,2829.669655,1000,0.0,0.006935478061587137
192,2837.090622,1000,0.0,0.005181777583058503
193,2833.788638,1000,0.0,0.0070721205517670725
194,2831.268589,1000,0.0,0.0027123235507080846
195,2824.080755,1000,0.0,0.0044633783857228266
196,2833.175922,1000,0.0,0.006616288087355307
197,2838.965471,1000,0.0,0.005678038663611179
198,2835.836549,1000,0.0,0.0029326604311089243
199,2842.446434,1000,0.0,0.001348397179837281
